team,season,drives,d_3_and_out,d_fg,d_td,d_3_and_out_rate,d_fg_rate,d_td_rate
LA,2011,190,56,28,16,0.29473684210526313,0.14736842105263157,0.08421052631578947
KC,2011,180,54,29,17,0.3,0.16111111111111112,0.09444444444444444
CIN,2011,190,58,38,31,0.30526315789473685,0.2,0.1631578947368421
SF,2011,182,57,52,32,0.3131868131868132,0.2857142857142857,0.17582417582417584
CHI,2011,193,61,32,28,0.3160621761658031,0.16580310880829016,0.14507772020725387
JAX,2011,186,60,25,21,0.3225806451612903,0.13440860215053763,0.11290322580645161
NYJ,2011,194,65,25,40,0.33505154639175255,0.12886597938144329,0.20618556701030927
IND,2011,177,61,27,19,0.3446327683615819,0.15254237288135594,0.10734463276836158
DEN,2011,194,67,24,31,0.34536082474226804,0.12371134020618557,0.15979381443298968
JAX,2010,170,18,28,40,0.10588235294117647,0.16470588235294117,0.23529411764705882
HOU,2010,169,33,29,43,0.1952662721893491,0.17159763313609466,0.25443786982248523
ATL,2010,168,33,31,41,0.19642857142857142,0.18452380952380953,0.24404761904761904
IND,2010,170,35,28,46,0.20588235294117646,0.16470588235294117,0.27058823529411763
NO,2010,164,35,28,42,0.21341463414634146,0.17073170731707318,0.25609756097560976
CIN,2010,181,39,31,34,0.2154696132596685,0.1712707182320442,0.1878453038674033
LAC,2010,181,39,33,48,0.2154696132596685,0.18232044198895028,0.26519337016574585
MIN,2010,184,42,18,30,0.22826086956521738,0.09782608695652174,0.16304347826086957
NYG,2010,195,45,23,47,0.23076923076923078,0.11794871794871795,0.24102564102564103
PHI,2010,181,42,37,44,0.23204419889502761,0.20441988950276244,0.2430939226519337
DAL,2010,173,41,31,38,0.23699421965317918,0.1791907514450867,0.21965317919075145
MIA,2010,177,42,40,25,0.23728813559322035,0.22598870056497175,0.14124293785310735
NE,2010,155,37,25,56,0.23870967741935484,0.16129032258064516,0.36129032258064514
BUF,2010,179,45,20,30,0.25139664804469275,0.11173184357541899,0.16759776536312848
PIT,2010,166,42,33,36,0.25301204819277107,0.19879518072289157,0.21686746987951808
BAL,2010,174,45,29,36,0.25862068965517243,0.16666666666666666,0.20689655172413793
CLE,2010,168,44,27,26,0.2619047619047619,0.16071428571428573,0.15476190476190477
NYJ,2010,188,50,36,33,0.26595744680851063,0.19148936170212766,0.17553191489361702
KC,2010,184,49,23,40,0.266304347826087,0.125,0.21739130434782608
TB,2010,163,44,28,35,0.26993865030674846,0.17177914110429449,0.2147239263803681
LV,2010,191,52,37,37,0.27225130890052357,0.193717277486911,0.193717277486911
GB,2010,171,47,26,42,0.27485380116959063,0.15204678362573099,0.24561403508771928
DEN,2010,189,52,24,37,0.2751322751322751,0.12698412698412698,0.19576719576719576
WAS,2010,196,54,34,30,0.2755102040816326,0.17346938775510204,0.15306122448979592
TEN,2010,174,53,26,36,0.3045977011494253,0.14942528735632185,0.20689655172413793
SF,2010,183,56,26,29,0.30601092896174864,0.14207650273224043,0.15846994535519127
SEA,2010,183,57,30,27,0.3114754098360656,0.16393442622950818,0.14754098360655737
DET,2010,187,59,29,37,0.3155080213903743,0.15508021390374332,0.19786096256684493
ARI,2010,189,60,26,19,0.31746031746031744,0.13756613756613756,0.10052910052910052
CAR,2010,194,63,28,16,0.3247422680412371,0.14432989690721648,0.08247422680412371
LA,2010,191,63,37,27,0.3298429319371728,0.193717277486911,0.14136125654450263
CHI,2010,186,64,30,33,0.34408602150537637,0.16129032258064516,0.1774193548387097
LAC,2009,162,28,33,46,0.1728395061728395,0.2037037037037037,0.2839506172839506
DAL,2009,167,30,31,40,0.17964071856287425,0.18562874251497005,0.23952095808383234
PIT,2009,171,34,31,37,0.19883040935672514,0.18128654970760233,0.21637426900584794
NE,2009,169,34,31,47,0.20118343195266272,0.1834319526627219,0.2781065088757396
NYG,2009,174,39,30,42,0.22413793103448276,0.1724137931034483,0.2413793103448276
GB,2009,178,40,34,50,0.2247191011235955,0.19101123595505617,0.2808988764044944
DET,2009,186,42,27,24,0.22580645161290322,0.14516129032258066,0.12903225806451613
HOU,2009,172,39,28,42,0.22674418604651161,0.16279069767441862,0.2441860465116279
NO,2009,175,40,28,55,0.22857142857142856,0.16,0.3142857142857143
IND,2009,166,39,20,50,0.23493975903614459,0.12048192771084337,0.30120481927710846
WAS,2009,166,39,25,29,0.23493975903614459,0.15060240963855423,0.1746987951807229
MIA,2009,173,42,25,37,0.24277456647398843,0.14450867052023122,0.2138728323699422
ATL,2009,156,38,26,40,0.24358974358974358,0.16666666666666666,0.2564102564102564
DEN,2009,183,45,35,30,0.2459016393442623,0.1912568306010929,0.16393442622950818
TEN,2009,178,44,31,35,0.24719101123595505,0.17415730337078653,0.19662921348314608
BAL,2009,176,45,27,43,0.2556818181818182,0.1534090909090909,0.24431818181818182
CAR,2009,180,47,26,34,0.2611111111111111,0.14444444444444443,0.18888888888888888
JAX,2009,167,45,27,33,0.2694610778443114,0.16167664670658682,0.19760479041916168
ARI,2009,185,50,16,43,0.2702702702702703,0.08648648648648649,0.23243243243243245
PHI,2009,181,49,35,41,0.27071823204419887,0.19337016574585636,0.2265193370165746
CLE,2009,183,51,25,21,0.2786885245901639,0.1366120218579235,0.11475409836065574
SEA,2009,190,53,26,27,0.2789473684210526,0.1368421052631579,0.14210526315789473
LA,2009,178,50,23,16,0.2808988764044944,0.12921348314606743,0.0898876404494382
